SEGU7301920;40' Open Top;Sold;;2019-11-25;Busan;12/2011
SEGU7301936;40' Open Top;On Hire;MSC Mediterranean Shipping Company;2017-07-13;Qingdao;12/2011
SEGU7301941;40' Open Top;On Hire;Ceekay Shipping Pte Ltd & Parekh;2019-06-13;Antwerp;12/2011
SEGU7301957;40' Open Top;Sold;;2021-10-09;Singapore;12/2011
SEGU7301962;40' Open Top;On Hire;Ocean Network Express Pte. Ltd.;2021-01-01;Antwerp;12/2011
SEGU7301978;40' Open Top;On Hire;CMA CGM;2012-07-05;Changzhou Manuf;12/2011
SEGU7301983;40' Open Top;On Hire;CMA CGM;2012-07-05;Changzhou Manuf;12/2011
SEGU7301999;40' Open Top;On Hire;CMA CGM;2012-07-05;Changzhou Manuf;12/2011
SEGU7302001;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302017;;;;;;/
SEGU7302022;40' Open Top;Sold;;2022-02-24;Antwerp;12/2011
SEGU7302038;;;;;;/
SEGU7302043;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302059;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302064;40' Open Top;Sold;;2020-10-28;Sydney;12/2011
SEGU7302070;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302085;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302090;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302104;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7302110;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302125;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302130;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302146;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302151;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302167;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302172;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302188;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302193;40' Open Top;Sold;;2018-01-09;Hamburg;12/2011
SEGU7302207;40' Open Top;On Hire;CMA CGM;2018-01-10;Shanghai;12/2011
SEGU7302212;40' Open Top;Sold;;2020-12-05;Port Klang;12/2011
SEGU7302228;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-06-25;Singapore;12/2011
