website,asn_description
plattenwalter.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
portawin.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
augsburg.de,"MNET-AS Germany, DE"
ruwer.de,"EQUINIX-CONNECT-GERMANY Equinix Germany, DE"
weber-ingenieure.de,"GD-EMEA-DC-CGN1, DE"
klinikumbielefeld.de,"BICOS, DE"
phoenixraumkonzept.com,"GODADDY-SXB, DE"
bra.nrw.de,"IT-NRW, DE"
tresec.com,"HETZNER-AS, DE"
bg-bau.com,"STRATO STRATO AG, DE"
dbu.de,"AVENCY Kiebitzpohl 77, DE"
fischerappelt.de,"CORPEX-AS Schauenburgerstrasse 6, DE"
theo-milte.de,"CLOUDPIT, DE"
verwaltung.uni-stuttgart.de,"BELWUE BelWue-Koordination, DE"
cosinex.de,"HETZNER-AS, DE"
dmt-gmbh.com,"STRATO STRATO AG, DE"
drk-westfalen.de,"MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG, DE"
Bissingen-Teck.de,"HETZNER-AS, DE"
rpk-bwl.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
gsi.de,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
evo-chem.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
lvaltenweddingen.de,"GD-EMEA-DC-SXB1, DE"
stmwi.bayern.de,"VODANET International IP-Backbone of Vodafone, DE"
fraunhofer.de,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
stw-rw.de,"GODADDY-SXB, DE"
inros-lackner.de,"COMTRANCE-AS, DE"
pd-g.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
carpus.de,"HETZNER-AS, DE"
detmold.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
btg-goerlitz.com,"IP-PROJECTS, DE"
ziegler.de,"TK-LINDAU, DE"
grosskuechen-zeiger.de,"NETCUP-AS netcup GmbH, DE"
henne-unimog.de,"HETZNER-AS, DE"
arnstorf.de,"PLUSSERVER-ASN1, DE"
furtner-ammer.de,"HETZNER-AS, DE"
sturm-feuerschutz.de,"SCHLUNDTECH-AS, DE"
kilian-brandschutz.de,"STRATO STRATO AG, DE"
bim-berlin.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
ohning.de,"HETZNER-AS, DE"
diakoneo.de,"NETLOGIX, DE"
fnb-pflasterbau.de,"HETZNER-AS, DE"
subreport.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
actemium.de,"MICROSOFT-CORP-MSN-AS-BLOCK, US"
stadt.wuerzburg.de,"UUNET, US"
faun.com,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
lbm.rlp.de,"DTAG Internet service provider operations, DE"
i-sec.com,"NL-BIT BIT BV, NL"
awg-info.de,"HETZNER-AS, DE"
amtsiek.de,"MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG, DE"
pp-service.com,"HETZNER-AS, DE"
service-gs.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
online.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
luebben.de,"EQUINIX-CONNECT-GERMANY Equinix Germany, DE"
MWAE.Brandenburg.de,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
unsere-leistungen.de,"HETZNER-AS, DE"
dreinath-bau.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
aws-stolle.de,"SSERV-AS, DE"
hv.spk-berlin.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
mh-service.de,"STRATO STRATO AG, DE"
gegenbauer.de,"HETZNER-AS, DE"
kreis-pinneberg.de,"HETZNER-AS, DE"
dringelburg.de,"STRATO STRATO AG, DE"
lbih.hessen.de,"SOPRADO-ANY, DE"
hamm-architektur-denkmalpflege.de,"STRATO STRATO AG, DE"
ingenaix.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
polizei.bayern.de,"VODANET International IP-Backbone of Vodafone, DE"
schoeffel.de,"GOOGLE-CLOUD-PLATFORM, US"
celle.de,"TNG-AS TNG Stadtnetz GmbH, DE"
LKCELLE.de,"TNG-AS TNG Stadtnetz GmbH, DE"
nitsche-wdt.de,"SCALEUP, DE"
kirchengemeinde-staaken.de,"MONO, DK"
koalick.de,"GD-EMEA-DC-SXB1, DE"
bundesbank.de,"BABIEL-NET, DE"
auk-ing.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
hs-harz.de,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
machineering.com,"HETZNER-AS, DE"
dannenbergindustries.nl,"WEEBLY, US"
schwall-bau.de,"STRATO STRATO AG, DE"
lentner-gmbh.de,"GD-EMEA-DC-SXB1, DE"
stirner-gmbh.de,"TTM, DE"
heavy-rescue.de,"HETZNER-AS, DE"
duesseldorf.de,"ITK-RHEINLAND, DE"
telekom.de,"SCZN-AS, DE"
wallintin-ausbau.de,"HETZNER-AS, DE"
fam-gdl.com,"GD-EMEA-DC-SXB1, DE"
straubing.de,"FILOO-ASN Rhedaer Stra?e 25, DE"
schreinerei-vilsmeier.de,"CONTABO, DE"
awbkoeln.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
bhm-personal.de,"GD-EMEA-DC-SXB1, DE"
movado-gruppe.de,"RGI-AS, DE"
alphaconsult-premium.org,"STRATO STRATO AG, DE"
abacus-experten.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
idh-koeln.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
konnex-zeitarbeit.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
sf-rheinland.com,"STRATO STRATO AG, DE"
weil-am-rhein.de,"KOMM-ONE-AS, DE"
perfect-services-plus.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
euskirchen.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
jerg.biz,"ARTFILES-AS Artfiles New Media GmbH, DE"
schmitt-feuerwehrtechnik.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
immobilien.bremen.de,"DATAPORT-AS, DE"
bau.bremen.de,"DATAPORT-AS, DE"
agw-elektrotechnik.de,"DTAG Internet service provider operations, DE"
stadt.nuernberg.de,"BISPING ISP & Citycarrier, Germany, DE"
documentus-bayern.de,"GODADDY-SXB, DE"
werra-meissner-kreis.de,"GD-EMEA-DC-CGN1, DE"
gmx.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
carloettinger.de,"NETCUP-AS netcup GmbH, DE"
sppm.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
messergroup.com,"SOFTLAYER, US"
dwd.de,"DWD-AS, DE"
leonardogermany.com,"ITMSC, IT"
eichenschild-fensterbau.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
neustadt-hessen.de,"TTM, DE"
heussen-law.de,"GD-EMEA-DC-SXB1, DE"
lsc-group.lu,"CONTABO, DE"
vg-edenkoben.de,"EQUINIX-CONNECT-GERMANY Equinix Germany, DE"
webeler-rechtsanwaelte.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
pia-architekten.de,"GODADDY, DE"
tu-dortmund.de,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
lfoa-mv.de,"DVZ-AS, DE"
googlemail.com,"GOOGLE, US"
eckwald.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
gmail.com,"GOOGLE, US"
waldkontor.com,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
gmx.net,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
plus.aok.de,"COLT COLT Technology Services Group Limited, GB"
bueroland-online.de,"NMM-AS D - 02742 Friedersdorf Hauptstrasse 68, DE"
bitterfeld-wolfen.de,"GD-EMEA-DC-CGN1, DE"
kwdz.de,"HLKOMM 04107 Leipzig, DE"
toko-wolfen.de,"STRATO STRATO AG, DE"
sscinc.com,"SSNC-AS, US"
mobil.hessen.de,"SOPRADO-ANY, DE"
strabag.com,"A1TELEKOM-AT A1 Telekom Austria AG, AT"
ap-s.de,"DE-WEBGO www.webgo.de, DE"
vivantes.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
siemens-healthineers.com,"AMAZON-02, US"
elektro-essel.de,"NMM-AS D - 02742 Friedersdorf Hauptstrasse 68, DE"
LfU.Brandenburg.de,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
mwae.brandenburg.de,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
mluk.brandenburg.de,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
neusta.de,"BRITELINE-AS, DE"
sweco-gmbh.de,"ASODERLAND, SE"
offenburg.de,"HETZNER-AS, DE"
tna-energie.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
Telekom.de,"SCZN-AS, DE"
buehl.de,"GD-EMEA-DC-CGN1, DE"
ewn-gmbh.de,"EDISCOM Am Kanal 4a, 14467 Potsdam, DE"
siemens.com,"AMAZON-02, US"
holzbau-stoffel.de,"STRATO STRATO AG, DE"
z-m-s.de,"HETZNER-AS, DE"
hvg-logistik.de,"GD-EMEA-DC-CGN1, DE"
group-mr.com,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
blb.nrw.de,"IT-NRW, DE"
adikuezel-putz.de,"EVANZOAS, DE"
franz-traub.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
lwb.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
ibs-tragwerk.de,"TELEMAXX, DE"
rnv-online.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
powerlines-group.com,"DIGIMAGICAL, AT"
dresden.de,"LHDD-AS, DE"
stadt-frankfurt.de,"COLT Technology Services Group, GB"
proprojekt.de,"KEYWEB-AS, DE"
bauart-ingenieure.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
egv-group.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
blf-gruppe.de,"HETZNER-AS, DE"
JDEcoffee.com,"OVH, FR"
rhenser.de,"COMBELL-AS, BE"
friweika.de,"PLUSSERVER-ASN1, DE"
baeckerei-heisters.de,"STRATO STRATO AG, DE"
sondermann-brot.de,"WIX_COM, IL"
Pesch-Brot.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
L.de,"AS_NETZLEIPZIG, DE"
zweiweg.de,"CONTABO, DE"
syke.de,"EWETEL, DE"
man.eu,"AMAZON-02, US"
assmann-sonderfahrzeuge.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
gwg-muenchen.de,"PUNKT, DE"
cancom.de,"HETZNER-AS, DE"
wbg.nuernberg.de,"NETLOGIX, DE"
kohl-holzbau.de,"HETZNER-AS, DE"
rmkconsult.de,"HTP-AS, DE"
charite.de,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
standardbio.com,"AMAZON-02, US"
avea.de,"CONTABO, DE"
k-plus-s.com,"AMAZON-02, US"
oqema.com,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
brenntag.com,"CLOUDFLARENET, US"
eurofunk.com,"CRONON-AS Obermuensterstr. 9, DE"
rsp-freiraum.de,"GOOGLE-CLOUD-PLATFORM, US"
saarbruecken.de,"INTERSAAR-AS, DE"
wirtschaft.saarland.de,"NORIS-NETWORK IT Service Provider located in Nuernberg, Germany, DE"
motoren-baader.de,"NMM-AS D - 02742 Friedersdorf Hauptstrasse 68, DE"
zoeller-kipper.de,"HETZNER-AS, DE"
bieteranfrage.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
raumstudio-falter.de,"VODANET International IP-Backbone of Vodafone, DE"
rt-elektroplanung.de,"GD-EMEA-DC-SXB1, DE"
brack-heizung.de,"STRATO STRATO AG, DE"
stbam2.bayern.de,"VODANET International IP-Backbone of Vodafone, DE"
gregg-mts.de,"LEIBOLD_AS, DE"
holzapfel-gebaeudereinigung.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
mps.mpg.de,"GOENET, DE"
pfeiffer-vacuum.de,"UDAG, DE"
edwardsvacuum.com,"AMAZON-02, US"
leybold.com,"AMAZON-02, US"
lasuv.sachsen.de,"SUB-LIR-SN-AS Sub-LIR SN, DE"
schuessler-plan.de,"HETZNER-AS, DE"
daemmtechniken.de,"NMM-AS D - 02742 Friedersdorf Hauptstrasse 68, DE"
lv-reinigungsteam.de,"STRATO STRATO AG, DE"
veolia.com,"CLOUDFLARENET, US"
giesdl.de,"NETHINKS-AS NETHINKS GmbH, DE"
publications.europa.eu,"AMAZON-02, US"
flyxdrive.com,"STRATO STRATO AG, DE"
hs-gs.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
bsw.hamburg.de,"PLUSSERVER-ASN1, DE"
tun-architektur.de,"STRATO STRATO AG, DE"
mgksiegen.de,"HETZNER-AS, DE"
mimarbau.com,"NMM-AS D - 02742 Friedersdorf Hauptstrasse 68, DE"
datagroup.de,"IMOS-AS Alfons-Feifel-Str. 9, DE"
landkreis-wittenberg.de,"HETZNER-AS, DE"
btc-ag.com,"AMAZON-02, US"
kreisgg.de,"AMAZON-02, US"
tgt-meiningen.de,"STRATO STRATO AG, DE"
wollenweberarchitektur.de,"STRATO STRATO AG, DE"
mckinsey.com,"MCKINSEY-GLOBAL, US"
wandlitz.de,"HETZNER-AS, DE"
abst-brandenburg.de,"UUU-TELECOM-AS, DE"
galabau-rb.de,"GODADDY-CGN, DE"
villingen-schwenningen.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
waldmann-elektrotechnik.com,"GD-EMEA-DC-SXB1, DE"
kokon-architektur.de,"NMM-AS D - 02742 Friedersdorf Hauptstrasse 68, DE"
herzogundpartner.de,"STRATO STRATO AG, DE"
bge.de,"AMAZON-02, US"
zueblin.de,"A1TELEKOM-AT A1 Telekom Austria AG, AT"
vhh-mobility.de,"NMM-AS D - 02742 Friedersdorf Hauptstrasse 68, DE"
daimlertruck.com,"AMAZON-02, US"
neu-sw.de,"NEU-ITEC, DE"
aquaplan-eurofloc.de,"STRATO STRATO AG, DE"
milser-muehle.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
as-suhl.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
st-vincenz.de,"HETZNER-AS, DE"
ziehm.com,"SYCOR, DE"
bursch.de,"SYB-AS, DE"
HV.SPK-Berlin.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
bielefeld.de,"MEDIALINE-EUROTRADE-AG, DE"
stadtwerke-bielefeld.de,"SW-BIELEFELD-AS, DE"
winterdienst-lr.de,"INTERNETX-AS, DE"
emm-dienstleistungen.de,"MK-NETZDIENSTE-AS, DE"
stbain.bayern.de,"VODANET International IP-Backbone of Vodafone, DE"
hyna-weiss.de,"SQUARESPACE, US"
gammel.de,"AMAZON-02, US"
griesch.com,"DTAG Internet service provider operations, DE"
