GTIN,Variant Name,Category Name,Brand Name,Price (€),Inventory,Image URL,Seller,MOV (€),Available Qty,Ordering Qty,Total Price (€)
3423222080969,Narciso Rodriguez All Of Me EDP For Women 3.0 Fl Oz,Eau De Parfum,Narciso Rodriguez,49.40,12,https://static.prod.qogita.com/files/images/variants/BDvwfPkQAWAPdFtSwuL2uU.jpg,16E19R,350.00,0,0,0.00,1
0850018802598,Olaplex N° 4 Bond Maintenance Shampoo 250ml,Shampoo,Olaplex,13.62,1082,https://static.prod.qogita.com/files/images/variants/FwRNSs5o7Rc7NGCinUZjxa.jpg,16QJWR,600.00,0,0,0.00,1
3365440003866,Yves Saint Laurent Kouros Eau De Toilette Spray 100ml,Eau De Toilette,Yves Saint Laurent,40.39,244,https://static.prod.qogita.com/files/images/variants/UGM4eLxeWs4oetC8Yg34TU.jpg,GELD3O,350.00,0,0,0.00,1
6291108739020,Qaed Al Fursan Unlimited 90ml Eau de Parfum by Lattafa White Edition Oriental Perfume for Men and Women,Eau De Parfum,Lattafa,7.74,597,https://static.prod.qogita.com/files/images/variants/BFtkmjnD7Yeq6vK2VeqJLH.jpg,4ZOJXY,500.00,0,0,0.00,12
3423470311365,L'Eau d'Issey For Men Eau De Toilette 125ml,Eau De Toilette,Issey Miyake,29.83,458,https://static.prod.qogita.com/files/images/variants/2YjSWKZGs8Dtpaff7KmpdR.jpg,EMV827,400.00,0,0,0.00,1
0737052351018,Hugo Boss Bottled Eau de Toilette Spray 50ml,Eau De Toilette,Hugo Boss,24.41,5,https://static.prod.qogita.com/files/images/variants/TcdZAR9sT2Ucm4Yra3ddiG.jpg,VVL4XX,350.00,0,0,0.00,1
3423222080952,Narciso Rodriguez All Of Me Eau de Parfum 50ml,Eau De Parfum,Narciso Rodriguez,,0,https://static.prod.qogita.com/files/images/variants/5nHfZcmxZF4TNHmU98Xknr.jpg,99L84G,450.00,0,0,0.00,1
0020714001940,Clinique Aromatics Elixir Eau De Parfum 45ml,Eau De Parfum,Clinique,17.13,24,https://static.prod.qogita.com/files/images/variants/DyYku5FydF5PWhxdan8isb.jpg,LEKM75,350.00,0,0,0.00,1
3386460135825,Montblanc Explorer Platinum Eau de Parfum 60ml,Eau De Parfum,Montblanc,,0,https://static.prod.qogita.com/files/images/variants/bqcYbB3W2WFhtSMCgfMweF.jpg,YEO149,350.00,0,0,0.00,1
3414206000608,Joop! Homme Eau de Toilette 125ml Spray For Him,Eau De Toilette,Joop!,17.18,75,https://static.prod.qogita.com/files/images/variants/SuPBuLre6zq2CwsWXPVvMK.jpg,EMV827,400.00,0,0,0.00,1
6291108733875,Unisex Bade'e Al Oud Amethyst Eau De Parfum Spray 3.38 oz Fragrances,Eau De Parfum,Lattafa,13.54,2147,https://static.prod.qogita.com/files/images/variants/LuPhWqoJmhh6tHaZWMJszQ.jpg,VV9JDK,350.00,0,0,0.00,1
6291106066890,Lattafa Perfumes Ana Abiyedh Eau de Parfum Spray Vanilla Saffron 60ml,Eau De Parfum,Lattafa,8.17,2876,https://static.prod.qogita.com/files/images/variants/ihK9MGxNR8UZv5sXvZrsgi.jpg,VV9JDK,350.00,0,0,0.00,1
3349668515660,Invictus by Paco Rabanne Eau De Toilette for Men 100ml,Eau De Toilette,Paco Rabanne,53.48,57,https://static.prod.qogita.com/files/images/variants/5JXWpzMi2V6FG9zMD43Es4.jpg,9975VV,350.00,0,0,0.00,1
0088300104437,Calvin Klein CK Be Eau de Toilette 200ml Vaporizer Unisex Adults' Black Musk,Eau De Toilette,Calvin Klein,17.08,360,https://static.prod.qogita.com/files/images/variants/fneWs4MPtGfck6v7nfZ99g.jpg,LEKM75,350.00,0,0,0.00,1
8018365270756,Versace Red Jeans Eau De Toilette For Woman 75ml,Eau De Toilette,Versace,11.50,3492,https://static.prod.qogita.com/files/images/variants/SrLdrPwMokF3F7o6JiGCoS.jpg,WEDJJK,350.00,0,0,0.00,1
3346130013457,Hermes Terre D'Hermes Eau de Toilette Spray 200ml,Eau De Toilette,Hermès,80.02,185,https://static.prod.qogita.com/files/images/variants/986wejrTJGbL782ZwvbGnU.jpg,335631,600.00,0,0,0.00,1
3147758029383,Miracle Eau De Parfum 100ml Spray,Eau De Parfum,Lancôme,60.47,109,https://static.prod.qogita.com/files/images/variants/HevEFPmTTJuapeZkzUf93R.jpg,16E19R,350.00,0,0,0.00,1
8011003876280,Versace Dylan Purple Eau de Parfum Spray 100ml,Eau De Parfum,Versace,47.06,4,https://static.prod.qogita.com/files/images/variants/gmRJY3nqihhyC5kgwsdbAf.jpg,YEO149,350.00,0,0,0.00,1
3348900012219,Dior Fahrenheit Eau De Toilette 100ml,Eau De Toilette,Dior,72.49,11,https://static.prod.qogita.com/files/images/variants/2Vg4qNwMavB7x77sWoUmuE.jpg,EMV12L,350.00,0,0,0.00,1
0085805390600,Elizabeth Arden 5th Avenue Eau de Parfum for Women 125ml,Eau De Parfum,Elizabeth Arden,15.08,1776,https://static.prod.qogita.com/files/images/variants/gBaVqXfLCx5mxtAKQrxdgS.jpg,16QJWR,600.00,0,0,0.00,1
0088300162505,Calvin Klein Euphoria Eau de Parfum 100ml,Eau De Parfum,Calvin Klein,30.00,238,https://static.prod.qogita.com/files/images/variants/ihvkoWnRYjZgTPMS3LpZSH.jpg,YEO149,350.00,0,0,0.00,1
3346138900087,A Garden On The Nile Hermes Eau de Toilette Spray 100ml,Eau De Toilette,Hermès,60.73,61,https://static.prod.qogita.com/files/images/variants/jm9WasvJUqxeYRFG2MEnHm.jpg,VVQKD9,350.00,0,0,0.00,1
8011003861224,Versace Eros  Eau de Parfum Vapo 100ml,Eau De Parfum,Versace,49.18,97,https://static.prod.qogita.com/files/images/variants/oHkFXLQYm3iTe2tGL3f7BK.jpg,GELD3O,350.00,0,0,0.00,1
3346130009610,Hermès Terre D'hermès Eau De Toilette 50ml,Eau De Toilette,Hermès,38.68,256,https://static.prod.qogita.com/files/images/variants/ifg6rfuxx3ad5G5Rvw5yyk.jpg,VV9JDK,350.00,0,0,0.00,1
0088300107438,Calvin Klein CK One Eau De Toilette Unisex Spray 200ml,Eau De Toilette,Calvin Klein,23.09,240,https://static.prod.qogita.com/files/images/variants/NMgdeefZuVvzoGm4svCuSM.jpg,LEKM75,350.00,0,0,0.00,1
3346130013495,Hermes Terre Eau De Parfum Pure 75ml,Eau De Parfum,Hermès,64.00,44,https://static.prod.qogita.com/files/images/variants/6mWmEKQ6PHN32D5qkfyadw.jpg,9975VV,350.00,0,0,0.00,1
8011003825745,Gianni Versace Pour Homme Dylan Blue Eau De Toilette Spray for Men 100ml,Eau De Toilette,Versace,40.84,75,https://static.prod.qogita.com/files/images/variants/a9Yj7XrucjeXyydV8RwgrM.jpg,D3JR48,850.00,0,0,0.00,1
0027131086871,Estee Lauder Beautiful Eau de Parfum Spray 75ml for Women,Eau De Parfum,Estée Lauder,30.72,98,https://static.prod.qogita.com/files/images/variants/QFrrTH32WPExhA6rbUZ9tR.jpg,XDR492,350.00,0,0,0.00,1
3439600056525,Thierry Mugler Angel Eau de Parfum Refillable 25ml,Eau De Parfum,Thierry Mugler,35.09,11,https://static.prod.qogita.com/files/images/variants/fGWRTVRcfUDC6jRdbGpFSg.jpg,GELD3O,350.00,0,0,0.00,1
3349668582297,Paco Rabanne Phantom Eau De Toilette Spray 100ml,Eau De Toilette,Paco Rabanne,54.05,86,https://static.prod.qogita.com/files/images/variants/PT2EQ2VXe2pVjHtbxPbwpC.jpg,VV9JDK,350.00,0,0,0.00,1
3386460032681,Montblanc Legend Eau de Toilette 100ml,Eau De Toilette,Montblanc,27.58,360,https://static.prod.qogita.com/files/images/variants/hTrGu3fmbWy4RNyhHwwq2f.jpg,87WEZ3,1150.00,0,0,0.00,1
3346133500046,Hermès H24 Homme Eau de Toilette 50ml,Eau De Toilette,Hermès,29.88,6,https://static.prod.qogita.com/files/images/variants/8ehKJg9MsaYrEtrHRxLb4h.jpg,VVL4XX,350.00,0,0,0.00,1
3423222107611,Narciso Rodriguez for her MUSC NUDE EAU DE PARFUM 50ml,Eau De Parfum,Narciso Rodriguez,43.99,51,https://static.prod.qogita.com/files/images/variants/XvDgftFLBWFytQCUJd6YYC.jpg,VV9JDK,350.00,0,0,0.00,1
0850018802840,Olaplex No. 3 Hair Perfector Repair Treatment Banana 100ml,Hair Masks,Olaplex,12.45,480,https://static.prod.qogita.com/files/images/variants/jFiTKAcskhGNacuViyXBb8.jpg,KLWQQD,350.00,0,0,0.00,1
3386460135818,Montblanc Explorer Platinum Eau de Parfum 100ml,Eau De Parfum,Montblanc,32.58,39,https://static.prod.qogita.com/files/images/variants/L8o2Lmv45o34DupWn8S6Vk.jpg,YEO149,350.00,0,0,0.00,1
8057971183654,Dolce & Gabbana Q Eau de Parfum Spray for Women 50ml,Eau De Parfum,Dolce & Gabbana,34.27,66,https://static.prod.qogita.com/files/images/variants/Mo4XLyCcVGSCQ69ZsLDUxM.jpg,GELD3O,350.00,0,0,0.00,1
0737052355054,Hugo Boss Bottled Deodorant Spray,Deodorant & Anti-Perspirant,Hugo Boss,7.19,1050,https://static.prod.qogita.com/files/images/variants/7W3RV6pA5qHyQ7tnYZFbgK.jpg,EMV827,400.00,0,0,0.00,1
3614229828535,BOSS Bottled Eau De Parfum 100ml,Eau De Parfum,Hugo Boss,41.24,16,https://static.prod.qogita.com/files/images/variants/DLRwV7LeRnD9h57G82qV7Y.jpg,GELD3O,350.00,0,0,0.00,1
3439601204611,Thierry Mugler Alien Goddess Eau de Parfum for Women 60ml,Eau De Parfum,Thierry Mugler,37.80,166,https://static.prod.qogita.com/files/images/variants/Xn5BjCMAcCwsZP4TGmJHdg.jpg,335631,600.00,0,0,0.00,1
3349668021345,Paco Rabanne Pour Homme Eau De Toilette for Men 100ml,Eau De Toilette,Paco Rabanne,21.55,295,https://static.prod.qogita.com/files/images/variants/M4r3uGaG5K2MDYhbwtKHbQ.jpg,7XE172,1150.00,0,0,0.00,1
3614272907690,Giorgio Armani My Way Eau De Parfum for Women 90ml,Eau De Parfum,Giorgio Armani,69.71,119,https://static.prod.qogita.com/files/images/variants/WEXEmjk6KNsE2mqDyNfKNB.jpg,16E19R,350.00,0,0,0.00,1
3605522040588,Emporio Armani Stronger With You Homme Eau de Toilette 100ml,Eau De Toilette,Giorgio Armani,53.06,74,https://static.prod.qogita.com/files/images/variants/cdXkn4FwYEAGZ5sy2XJRpu.jpg,8738KJ,350.00,0,0,0.00,1
3386460101035,Montblanc Explorer 100ml Eau de Parfum Spray For Men,Eau De Parfum,Montblanc,,0,https://static.prod.qogita.com/files/images/variants/294eZ45BMrvN9fFjLRtFAk.jpg,YEO149,350.00,0,0,0.00,1
3423470311358,Issey Miyake Eau D Issey Homme EDT Vapo 75ml,Eau De Toilette,Issey Miyake,21.82,228,https://static.prod.qogita.com/files/images/variants/Cywc3TmkEvybncg6LHgoGF.jpg,EMV827,400.00,0,0,0.00,1
3360373063697,Cacharel Eau de Toilette for Women 30ml,Eau De Toilette,Cacharel,11.83,753,https://static.prod.qogita.com/files/images/variants/3iis5LWveWCqWF56Care2N.jpg,16QJWR,600.00,0,0,0.00,1
3349668594412,Paco Rabanne Fame Eau De Perfume Spray 80ml,Eau De Parfum,Paco Rabanne,63.79,64,https://static.prod.qogita.com/files/images/variants/SN7AgaV7FBLPzp4FoVXsKf.jpg,EMYX81,350.00,0,0,0.00,1
0888066015509,Tom Ford Noir Eau De Perfume Spray 100ml,Eau De Parfum,Tom Ford,91.73,67,https://static.prod.qogita.com/files/images/variants/9BadQ3krnqTcj9VTAXL4na.jpg,VV9JDK,350.00,0,0,0.00,1
0888066000062,Tom Ford Black Orchid Eau De Parfum Spray 50ml,Eau De Parfum,Tom Ford,66.07,157,https://static.prod.qogita.com/files/images/variants/kpo9JzXaRQPbKo6GkbAmQi.jpg,7XE172,1150.00,0,0,0.00,1
3365440316560,YSL L'Homme for Men Eau De Toilette 100ml,Eau De Toilette,Yves Saint Laurent,56.17,470,https://static.prod.qogita.com/files/images/variants/JnrdmVeLU9HD8AZXz5NWAa.jpg,EMV827,400.00,0,0,0.00,1
3386460121514,Montblanc Explorer Ultra Blue Eau de Parfum 100ml,Eau De Parfum,Montblanc,25.83,155,https://static.prod.qogita.com/files/images/variants/9K3JQqnBGgegQQNZZx3WKP.jpg,7X38GR,350.00,0,0,0.00,1
