Product Name,Product Link,Product Price
Sassy,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/sassy,KWD 12.000
Nmr,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/nmr,KWD 12.000
Ginger Bread,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/ginger-bread,KWD 12.000
Elegant,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/elegant,KWD 12.000
Cutie,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/amaracutie,KWD 12.000
Classic Brown,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/classic-brown,KWD 12.000
Chocolate,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/amarachocolate,KWD 12.000
Bon,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/bon,KWD 12.000
Barbie Brown,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/barbie-brown,KWD 12.000
Almaha Eyes,https://adasat.online/kw-en/product-details/colored-lenses/amara/celebrity-2024/almaha-eyes,KWD 12.000
Matcha,https://adasat.online/kw-en/product-details/colored-lenses/amara/amara-x-gio-2024/matcha-2,KWD 12.000
Biscuit,https://adasat.online/kw-en/product-details/colored-lenses/amara/amara-x-gio-2024/biscuit,KWD 12.000
Choco,https://adasat.online/kw-en/product-details/colored-lenses/amara/amara-x-gio-2024/choco-2,KWD 12.000
Almond,https://adasat.online/kw-en/product-details/colored-lenses/amara/amara-x-gio-2024/almond-3,KWD 12.000
Facial Brush,https://adasat.online/kw-en/product-details/accessories/self-care/facial-brush/Facial%20Brush,"KWD 2.500
5.000
50% off"
Lilli,https://adasat.online/kw-en/product-details/colored-lenses/diva/diva-huda-kattan/lilli,KWD 14.000
Gala,https://adasat.online/kw-en/product-details/colored-lenses/diva/diva-huda-kattan/gala,KWD 14.000
Eitan,https://adasat.online/kw-en/product-details/colored-lenses/diva/diva-huda-kattan/eitan,KWD 14.000
Beton,https://adasat.online/kw-en/product-details/colored-lenses/diva/diva-huda-kattan/beton,KWD 14.000
Green Olive,https://adasat.online/kw-en/product-details/colored-lenses/bella/elite-sale/green-olive,"KWD 3.250
13.000
75% off"
Matte Olive,https://adasat.online/kw-en/product-details/colored-lenses/bella/elite-sale/matt-olive,"KWD 3.250
13.000
75% off"
Silky Gray,https://adasat.online/kw-en/product-details/colored-lenses/bella/elite-sale/silky-gray,"KWD 3.250
13.000
75% off"
May Gray,https://adasat.online/kw-en/product-details/colored-lenses/noor/noor-up-to-3-month/may-gray-yearly,"KWD 2.500
10.000
75% off"
May Zircon,https://adasat.online/kw-en/product-details/colored-lenses/noor/noor-up-to-3-month/may-zircon-yearly2,"KWD 2.500
10.000
75% off"
May Quartzo,https://adasat.online/kw-en/product-details/colored-lenses/noor/noor-up-to-3-month/may-quartzo-yearly,"KWD 2.500
10.000
75% off"
May Green,https://adasat.online/kw-en/product-details/colored-lenses/noor/noor-up-to-3-month/may-green-yearly,"KWD 2.500
10.000
75% off"
May Emerald,https://adasat.online/kw-en/product-details/colored-lenses/noor/noor-up-to-3-month/may-emerald-yearly2,"KWD 2.500
10.000
75% off"
May Blue,https://adasat.online/kw-en/product-details/colored-lenses/noor/noor-up-to-3-month/may-blue3,"KWD 2.500
10.000
75% off"
Mocca,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/daily/mocca22,"KWD 5.600
8.000
30% off"
Cool gray,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/daily/cool-gray2,"KWD 5.600
8.000
30% off"
Cappuccino,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/daily/cappuccino22,"KWD 5.600
8.000
30% off"
Espresso,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/daily/espresso22,"KWD 5.600
8.000
30% off"
Fly gray,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/daily/fly-gray,KWD 8.000
Dream grey,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/daily/dream-grey,"KWD 5.600
8.000
30% off"
woody,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/daily/woody22,"KWD 5.600
8.000
30% off"
Sand,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/daily/sand2,"KWD 5.600
8.000
30% off"
Amber,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/monthly/amber-5,"KWD 6.500
10.000
35% off"
Granite Gray,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/monthly/granite-gray,"KWD 6.500
10.000
35% off"
Coffee Brown,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/monthly/coffee-brown-5,"KWD 6.500
10.000
35% off"
Cocoa Brown,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/monthly/cocoa-brown,"KWD 6.500
10.000
35% off"
Amazon,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/monthly/amazon,"KWD 6.500
10.000
35% off"
Marble,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/monthly/marble-5,"KWD 6.500
10.000
35% off"
Cloudy grey,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/monthly/Cloudy%20grey,"KWD 6.500
10.000
35% off"
Russian grey,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/monthly/russian-grey,"KWD 6.500
10.000
35% off"
Shell,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/monthly/shell,"KWD 6.500
10.000
35% off"
Early sky,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/monthly/early-sky,"KWD 6.500
10.000
35% off"
Moonlight,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/monthly/moonlight,"KWD 6.500
10.000
35% off"
Autumn,https://adasat.online/kw-en/product-details/colored-lenses/fresh-lady/monthly/autumn,"KWD 6.500
10.000
35% off"
Stylish Gray,https://adasat.online/kw-en/product-details/colored-lenses/lacelle-tri-kolor/lacelle-tri-kolor/stylish-gray-4,KWD 14.000
Stylish Brown,https://adasat.online/kw-en/product-details/colored-lenses/lacelle-tri-kolor/lacelle-tri-kolor/stylish-brown-2,KWD 14.000
Hazel,https://adasat.online/kw-en/product-details/colored-lenses/lacelle-tri-kolor/lacelle-tri-kolor/hazel-tri-kolor,KWD 14.000
Green,https://adasat.online/kw-en/product-details/colored-lenses/lacelle-tri-kolor/lacelle-tri-kolor/green-tri-kolor,KWD 14.000
Gray,https://adasat.online/kw-en/product-details/colored-lenses/lacelle-tri-kolor/lacelle-tri-kolor/gray-tri-kolor,KWD 14.000
Dark Green,https://adasat.online/kw-en/product-details/colored-lenses/lacelle-tri-kolor/lacelle-tri-kolor/dark-green-2,KWD 14.000
Blue,https://adasat.online/kw-en/product-details/colored-lenses/lacelle-tri-kolor/lacelle-tri-kolor/blue-tri-kolor,KWD 14.000
Blue Gray,https://adasat.online/kw-en/product-details/colored-lenses/lacelle-tri-kolor/lacelle-tri-kolor/blue-gray-3,KWD 14.000
Toffee,https://adasat.online/kw-en/product-details/colored-lenses/amara/amara-x-gio-daily/toffee-3,KWD 8.500
Shark Gray,https://adasat.online/kw-en/product-details/colored-lenses/amara/amara-x-gio-daily/shark-gray-2,KWD 8.500
Miss #606,https://adasat.online/kw-en/product-details/accessories/lashes/mayoumi/miss606,KWD 5.500
Mayoumi #640,https://adasat.online/kw-en/product-details/accessories/lashes/mayoumi/mayoumi640,KWD 5.500
yara #427,https://adasat.online/kw-en/product-details/accessories/lashes/mayoumi/yara427,KWD 5.500
Reem #609,https://adasat.online/kw-en/product-details/accessories/lashes/mayoumi/reem609,KWD 5.500
qamar #625,https://adasat.online/kw-en/product-details/accessories/lashes/mayoumi/qamar625,KWD 5.500
Tan Gray,https://adasat.online/kw-en/product-details/colored-lenses/jolie/weekly-collection/tan-gray,"KWD 2.750
5.500
50% off"
